id;Primeiro Nome;Último Nome;Email;Facebook;Instagram;Linkedin;Telefone 1;Telefone 2;Empresa;Cargo;CPF;Documento;CNAE;CNAE Secundário;Tags;Endereço;Número;Complemento;Cidade;UF;CEP;Biografia;Aniversário;Indicação;Campo Auxiliar;Campo Auxiliar 2
2;Grupo;De Amorim;vendas@deamorim.com.br;;grupodeamorim;;554134110520;554134110520;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
16;Grupo;FS;contato@fsconcreto.com.br;;fsconcreto;;5574999862773;5574999862773;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
20;EMACO;Industrial;;;emacoindustrial;;554130351540;554130351540;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
23;MINEROMIX;;mineromix@hotmail.com;;mineromix;;554535784101;554535784101;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
24;Britaki;Concreto;gerencia1@britaki.com.br;;britakiconcreto;;5573999624534;5573999624534;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
28;FortBeton;Concreto;junior.fortbeton@gmail.com;;fortbetonconcreto;;556230135415;556230135415;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
32;ConstruMix;Concreto Usinado 🤝🏻;construmix@outlook.com.br;;concretoconstrumix;;551146671658;551146671658;;;;;;;Concreteira SP,Google,Instagram,Maps,limpaconcreto,seguidores;R. João Batista Alberti, 58 - Jardim Dom José, São Paulo - SP, 05886-145;;;;84;;;;;;
36;BRC;Concreto Usinado;administrativo@brcconcreto.com.br;;brcconcreto;;5566996963933;5566996963933;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
37;Grupo;Cimentão;processos@azevedocontabil.com.br;;grupocimentao;;553732161000;553732161000;CIMENTAO CONCRETOS E QUARTZMASSA;;;06138175000308;2330305 - Preparação de massa de concreto e argamassa para construção;4399199 - Serviços especializados para construção não especificados anteriormente |;CNE,Instagram,Minas Gerais,limpaconcreto,seguidores;;;;4675;MG;35681295;Preparao de massa de concreto e argamassa para construo;;;;
40;BEAT:;Reels Maker & Templates;support@onelightapps.io;;reeltemplates.pro;;;;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
42;Star;brite Inc;info@starbrite.com;;starbrite_com;;19545876280;19545876280;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
53;Cepreng;Engenharia;contato@cepreng.com.br;;cepreng;;557536258040;557536258040;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
54;Mac;Engenharia;maceng.marketing@gmail.com;;mac.engenharia.itz;;;;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
59;Supercon;Concreto;controladoria@superconconcreto.com.br;;supercon.concreto;;551432813838;551432813838;SUPERCON CONCRETO;;;05669342000112;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO; | 2330301 - FABRICACAO DE ESTRUTURAS PRE-MOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA | 2330302 - FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO | 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL | 7719599 - LOCACAO DE OUTROS MEIOS DE TRANSPORTE NAO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR | 7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES | 7119799 - ATIVIDADES TECNICAS RELACIONADAS A ENGENHARIA E ARQUITETURA NAO ESPECIFICADAS ANTERIORMENTE | ;CNE,Instagram,São Paulo,limpaconcreto,seguidores;;;;BAURU;SP;17031350;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
62;Concreto;Usinado para sua Obra;;;topmaisconcreto;;5531997411274;5531997411274;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
67;Ibimix;Concreto Oficial;contato@ibimixconcreto.com.br;;ibimixconcreto;;551532412670;551532412670;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
69;Vale;da Serra Construtora & Concreto;atendimento@fogliatto.com.br;;valedaserraconstrutora;;556533391470;556533391470;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
78;Pavk;Pavimentadora;pavk@pavk.com.br;;pavk_pavimentadora;;5511999118021;5511999118021;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
85;O;Concreteiro;oconcreteiro@gmail.com;;concreteiro;;;;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
99;Fortmix;Concreto;andrecamargo.fortmix@gmail.com;;fortmix_concreto;;5524999055367;5524999055367;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
105;Andramix;Concreto LTDA;andramix.concreto@uol.com.br;;andramix.concreto;;551837224711;551837224711;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
106;CONCRETO;| BAHIAMIX;deize27@hotmail.com;;concretobahiamix;;5571981431822;5571981431822;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
107;Aliança;Concreto e Bombeamento;vendas@aliancaconcreto.com.br;;aliancaconcreto;;551144451100;551144451100;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
108;CMP;CONCRETO USINADO 🇧🇷;concreto2@grupocmp.com.br;;cmp.concreto;;5537999884107;5537999884107;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
109;CONCRETEQ;Bombas e Concreto;contato@concreteq.com.br;;concreteq.bc;;5531986470931;5531986470931;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
110;Valley;Construtora e Incorporadora 🏗;valleyconstrutoraincorporadora@gmail.com;;valley_construtora_e_incorc;;;;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
111;Eldorado;Pré-moldados;eldoradopremoldadosmidiasocial@gmail.com;;eldoradopremoldados;;5562996872962;5562996872962;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
112;Concreto;e Argamassa;concretoamoroso@gmail.com;;amorosoconcreto;;556633014848;556633014848;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
113;Concreara;;concrearaaraxa@hotmail.com;;concreara;;553436648030;553436648030;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
114;Ravamix;Concreto Ltda;ravamix.concreto@gmail.com;;ravamixconcreto;;5531998410164;5531998410164;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
115;;;concretrox@gmail.com;;concretrox;;5571999411669;5571999411669;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
116;AmazonCad;Construtora;amazoncad01@gmail.com;;amazoncad.construtora;;5591984054043;5591984054043;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
117;Gigante;Pré-Moldados;gigantepremoldados@hotmail.com;;gigantepremoldados;;555492243834;555492243834;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
